"adminUsers/deleteThisUser","Delete this user?"
"adminUsers/deleteDesc","Are you sure you want to delete?"
"adminUsers/yesActivate","Yes, activate"
"adminUsers/yesDeactivate","Yes, deactivate"
"adminUsers/communitySeller","Community Seller"
"adminUsers/deactivateThisUser","Deactivate this user?"
"adminUsers/activateThisUserAlert","Activate this user?"
"adminUsers/activateThisUserMsg","Are you sure you want to activate?"
"adminUsers/deactivateThisUserMsg","Are you sure you want to deactivate?"
"adminUsers/phoneNumber","Phone Number"
"adminUsers/password","Password"
"adminUsers/name","Name"
"adminUsers/role","Role"
"adminUsers/add","Add"
"adminUsers/activate","Activate"
"adminUsers/deactivate","Deactivate"
"adminUsers/admin","Admin"
"adminUsers/addUser","Add User"
"adminUsers/editUser","Edit User"
"adminUsers/update","Update"
"adminUsers/cancel","Cancel"
"adminUsers/you","(You)"
"adminSideMenu/defaultMenu","Default Menu"
"adminSideMenu/outlets","Outlets"
"adminSideMenu/users","Users"
"adminSideMenu/reporting","Reporting"
"adminSideMenu/faqs","FAQs & Help"
"adminSideMenu/logout","Log out"
"adminSideMenu/term","Terms & Conditions"
"adminSideMenu/policy","Privacy Policy"
"adminHome/defaultMenu","DEFAULT MENU"
"adminHome/outlets","OUTLETS"
"adminHome/users","USERS"
"adminHome/reporting","REPORTING"
"adminHome/promotions","PROMOTIONS"
"adminHome/support","SUPPORT"
"adminOutlets/outlets","OUTLETS"
"adminOutlets/activeMenu","ACTIVE MENU"
"adminOutlets/search","Search..."
"adminOutlets/filter","Filter"
"adminOutlets/sort","Sort"
"adminOutlets/noOutletFound","NO OUTLET FOUND"
"adminOutletFilter/title","FILTER BY"
"adminOutletFilter/activeMenu","ACTIVE MENU"
"adminOutletFilter/haveActiveMenu","Outlets that have active menu"
"adminOutletFilter/dontHaveActiveMenu","Outlets that don't have active menu"
"adminOutletFilter/city","CITY"
"adminOutletFilter/selectACity","Select a city"
"adminOutletFilter/selected","selected"
"adminOutletFilter/districts","DISTRICT(S)"
"adminOutletFilter/selectACityFirst","Select a city first"
"adminOutletFilter/selectDistricts","Select district(s)"
"adminOutletFilter/districtSelected","districts selected"
"adminOutletFilter/cityPopupTitle","SELECT A CITY"
"adminOutletFilter/districtPopupTitle","SELECT DISTRICT(S)"
"adminOutletFilter/select","Select"
"adminOutletFilter/clear","Clear"
"adminOutletFilter/apply","Apply"
"adminOutletSort/title","SORT BY"
"adminOutletSort/createdDate","CREATED DATE"
"adminOutletSort/newest","Newest"
"adminOutletSort/oldest","Oldest"
"adminOutletSort/outletName","OUTLET NAME"
"adminOutletSort/aZ","A to Z"
"adminOutletSort/zA","Z to A"
"adminOutletSort/clear","Clear"
"adminOutletSort/apply","Apply"
"adminOutletDetail/active","ACTIVE"
"adminOutletDetail/inactive","INACTIVE"
"adminOutletDetail/mobilePhoneNumber","Mobile phone number"
"adminOutletDetail/registeredUsername","Registered Username"
"adminOutletDetail/menus","MENUS"
"adminOutletDetail/users","USERS"
"adminOutletDetail/orders","ORDERS"
"adminOutletDetail/deactivate","Deactivate"
"adminOutletDetail/activate","Activate"
"adminOutletDetail/deactivateTitlePopup","Deactivate this outlet?"
"adminOutletDetail/deactivateDescPopup","Are you sure you want to deactivate?"
"adminOutletDetail/confirmDeactivate","Yes, deactivate"
"adminOutletDetail/activateTitlePopup","Activate this outlet?"
"adminOutletDetail/activateDescPopup","Are you sure you want to activate?"
"adminOutletDetail/confirmActivate","Yes, activate"
"adminOutletDetail/cancel","Cancel"
"defaultMenu/title","DEFAULT MENU"
"defaultMenu/product/rsp","RSP"
"adminSupport/title","SUPPORT"
"adminSupport/selectDateRange","SELECT DATE RANGE"
"adminSupport/from","From"
"adminSupport/to","To"
"adminSupport/outlet","Outlet"
"adminSupport/topic","Topic"
"adminSupport/time","Time"
"adminSupport/detailFeedback/title","Support Detail"
"adminSupport/detailFeedback/outletName","Outlet name"
"adminSupport/detailFeedback/userName","User name"
"adminSupport/detailFeedback/mobileNumber","Mobile number"
"adminSupport/detailFeedback/relatedTopic","Related Topic"
"adminSupport/detailFeedback/question","Question"
"adminSupport/detailFeedback/sendSMS","Send SMS"
"adminSupport/detailFeedback/call","Call"
"adminSupport/detailFeedback/resolve","Resolve"
"adminSupport/detailFeedback/alreadyResolveText","This question has been successfully resolved"
"hcsSideMenu/menus","Menus"
"hcsSideMenu/performance","Performance"
"hcsSideMenu/faqs","FAQs & Help"
"hcsSideMenu/language","Language"
"hcsSideMenu/logout","Log out"
"hcsSideMenu/term","Terms & Conditions"
"hcsSideMenu/policy","Privacy Policy"
"hcsHome/menus","MENUS"
"hcsHome/performance","PERFORMANCE"
"hcsOutletList/title","OUTLETS WITH MENUS"
"hcsOutletList/activeMenu","ACTIVE MENU"
"hcsOutletList/search","Search..."
"hcsOutletList/filter","Filter"
"hcsOutletList/sort","Sort"
"hcsOutletList/noOutletFound","NO OUTLET FOUND"
"hcsOutletListFilter/title","FILTER BY"
"hcsOutletListFilter/city","CITY"
"hcsOutletListFilter/selected","selected"
"hcsOutletListFilter/districts","DISTRICT(S)"
"hcsOutletListFilter/selectDistricts","Select district(s)"
"hcsOutletListFilter/districtSelected","districts selected"
"hcsOutletListFilter/districtPopupTitle","SELECT DISTRICT(S)"
"hcsOutletListFilter/select","Select"
"hcsOutletListFilter/clear","Clear"
"hcsOutletListFilter/apply","Apply"
"hcsOutletListSort/title","SORT BY"
"hcsOutletListSort/outletName","OUTLET NAME"
"hcsOutletListSort/aZ","A to Z"
"hcsOutletListSort/zA","Z to A"
"hcsOutletListSort/numberOfMenus","NUMBER OF MENUS"
"hcsOutletListSort/ascending","Ascending"
"hcsOutletListSort/descending","Descending"
"hcsOutletListSort/clear","Clear"
"hcsOutletListSort/apply","Apply"
